The Warrior Who Carried Life,Geoff Ryman
Life Everlasting,"David H Keller, MD"
The Metal Doom,"David H Keller, MD"
Station X,G Mcleod Winsor
Beyond The Green Prism,A Hyatt Verrill
The Inner World,A Hyatt Verrill
When The Moon Ran Wild,A Hyatt Verrill
Into The Green Prism,A Hyatt Verrill
Through The Andes,A Hyatt Verrill
The Treasure Of The Golden God,A Hyatt Verrill
The Adolescence Of P-1,Thomas J Ryan
The Alien Debt,FM Busby
Washout,Atk Butterfly
Un Été À Nigelle,Jean-Louis Trudel
Un Hiver À Nigelle,Jean-Louis Trudel
Burying The Shadow,Storm Constantine
Worldstone,Victoria Strauss
Guardian Of The Hills,Victoria Strauss
The Arm Of The Stone,Victoria Strauss
Eve's Rib,Bryn Chandler
The Time Stream,John Taine
Flanders,Patricia Anthony
The Wolf And The Crown,AA Attanasio
Checkmate,Eric T Baker
In The Garden Of Iden,Kage Baker
Iron Shadows,Steven Barnes
Dinosaur Summer,Greg Bear
Foundation And Chaos,Greg Bear
Cosm,Gregory Benford
Moonwar,Ben Bova
The Demon King,Chris Bunch
Bloodsport,William R Burkett
Cythera,Richard Calder
The Queen Of Darkness,Miguel Conner
Secret Realms,Tom Cool
Earthling,Tony Daniel
Circuit Of Heaven,Dennis Danvers
Someplace To Be Flying,Charles DE Lint
Steeldriver,Don Debrandt
Godheads,Emily Devenport
Prince Of Dogs,Kate Elliott
A Chill In The Blood,PN Elrod
Shards Of A Broken Crown,Raymond E Feist
Rogue Star,Michael Flynn
Dr. Death,Elizabeth Forrest
Carnivores Of Light And Darkness,Alan Dean Foster
Commitment Hour,James Alan Gardner
Halfway Human,Carolyn Ives Gilman
Flesh And Gold,Phyllis Gotlieb
Helm,Steven Gould
Mother Of Plenty,Colin Greenland
Icefalcon's Quest,Barbara Hambly
Burnt Offerings,Laurell K Hamilton
The Neutronium Alchemist,Peter F Hamilton
The Neutronium Alchemist,Peter F Hamilton
Ship Of Magic,Robin Hobb
The Mad Ship,Robin Hobb
Ship Of Destiny,Robin Hobb
Summon The Keeper,Tanya Huff
The Eternal Temple,Christian Jacq
Virus Clans,Michael Kanaly
Leap Point,Kay Kenyon
The Red Wyvern,Katharine Kerr
Newton's Cannon,J Gregory Keyes
Maximum Light,Nancy Kress
The Shadow Eater,AA Attanasio
Dark Water's Embrace,Stephen Leigh
Curse Of The Black Heron,Holly Lisle
Dragon's Winter,Elizabeth A Lynn
An Exchange Of Hostages,Susan R Matthews
Prisoner Of Conscience,Susan R Matthews
The Masterharper Of Pern,Anne Mccaffrey
Moonfall,Jack Mcdevitt
The Centurion's Empire,Sean Mcmullen
The Prisoner Within,Donald E Mcquinn
Proxies,Laura J Mixon
The Spellsong War,LE Modesitt
Lost Days,Mike Moscoe
Signal To Noise,Eric S Nylund
Hand Of Prophecy,Severna Park
The Painter Knight,Fiona Patton
Dust,Charles Pellegrino
The Diviner's Key,Melanie Rawn
Voodoo Child,Michael Reaves
The Children Of Wrath,Mickey Zucker Reichert
A Tremor In The Bitter Earth,Katya Reimann
Fire Angels,Jane Routley
Burning Bright,Jay Russell
The Face Of Apollo,Fred Saberhagen
Ariadne's Web,Fred Saberhagen
The Arms Of Hercules,Fred Saberhagen
God Of The Golden Fleece,Fred Saberhagen
The Daemon In The Machine,Felicity Savage
The Godmother's Web,Elizabeth Ann Scarborough
The Shapes Of Their Hearts,Melissa Scott
The Cyborg From Earth,Charles Sheffield
The Alleluia Files,Sharon Shinn
Cross And Crescent,Susan Shwartz
The Innamorati,Midori Snyder
Island In The Sea Of Time,SM Stirling
Jericho Moon,Matthew Woodring Stover
Dreaming In Smoke,Tricia Sullivan
White Mare's Daughter,Judith Tarr
Fox And Empire,Harry Turtledove
Between The Rivers,Harry Turtledove
Ports Of Call,Jack Vance
Nightsword,Tracy Hickman
Mirror World,Tad Williams
The Angry Angel,Chelsea Quinn Yarbro
War In Heaven,David Zindell
The Fear Principle,BA Chepaitis
Deathweave,Cary Osborne
Return To Camerein,Rick Shelley
Overshoot,Mona Clee
"Insanity, Illinois",Mark Sumner
Voices Of Chaos,AC Crispin
Scales Of Justice,Daniel Hood
Manjinn Moon,Denise Vitola
Operation Mars,EC Tubb
Galilee,Clive Barker
Mir,Alexander Besher
Daughter Of The Blood,Anne Bishop
The Silver Wolf,Alice Borchardt
Komarr,Lois Mcmaster Bujold
The Last Voice They Hear,Ramsey Campbell
Heartfire,Orson Scott Card
Homebody,Orson Scott Card
Inhuman Beings,Jerry Jay Carroll
Kissing The Beehive,Jonathan Carroll
The Truthsayer's Apprentice,Deborah Christian
Earth Herald,Jan Clark
Excalibur,Bernard Cornwell
Dæmonomania?Daemonomania,John Crowley
Bhagavati,Kara Dalkey
The Heavenward Path,Kara Dalkey
The Silent,Jack Dann
The First Immortal,James L Halperin
In The Beginning,Peter David
Signs And Portents,Jane Killick
The Whispers,Dan Parkinson
Smoke On The Water,Brian Daley
Four-Sided Triangle,William F Temple
"Martin Magnus, Planet Rover",William F Temple
Martin Magnus On Venus,William F Temple
Martin Magnus On Mars,William F Temple
The Automated Goliath,William F Temple
The Three Suns Of Amara,William F Temple
Shoot At The Moon,William F Temple
The Fleshpots Of Sansato,William F Temple
The Last Companion,Patrick Mccormack
Sacrament Of Night,Louise Cooper
The Truth,Peter James
Deliver Us From Evil,Tom Holland
Timequake,Kurt Vonnegut
Ex Utero,Laurie Foos
Irrelativity,Robert Epstein (B 1953)
Lord Of The Hollow Dark,Russell Kirk
The Bear Comes Home,Rafi Zabor
The Mind Reader,Jan Slepian
The Changeling Prince,Vivian Vande Velde
The Merro Tree,Katie Waitman
Master Of The Stars,Robert Hoskins
To Control The Stars,Robert Hoskins
To Escape The Stars,Robert Hoskins
Legacy Of The Stars,John Gregory
Evil In The Family,Robert Hoskins
The Attic Child,Robert Hoskins
The Shattered People,Robert Hoskins
Tomorrow's Son,Robert Hoskins
Jack-In-The-Box Planet,Robert Hoskins
The Night Runner,Robert Hoskins
Double Jeopardy,Fletcher Pratt
The Silicon Dagger,Jack Williamson
Saucer Sluts,Victor Koman
Brood Of The Dark Moon,Charles Willard Diffin
Blue Magic,Charles Willard Diffin
The Pirate Planet,Charles Willard Diffin
Le Voyageur Imprudent,René Barjavel
The Aliens Is Coming!,Atk Butterfly
The Troika,Stepan Chapman
Worlds Within,Rog Phillips
Demon Moon,Jack Williamson
Shores Of Dusk,Mark Anthony
The Glass Dragon,Irene Radford
Psi Cops,Michael Bracken
Grim Reaper,O'Neil DE Noux
The Big Kiss,O'Neil DE Noux
Blue Orleans,O'Neil DE Noux
Crescent City Kills,O'Neil DE Noux
Three Faces Of Time,Sam Merwin
The Planet Killers,Robert Silverberg
The Secret Martians,Jack Sharkey
The Puzzle Planet,Robert AW Lowndes
Wandl The Invader,Ray Cummings
Seven From The Stars,Marion Zimmer Bradley
The Day The Martians Came,Frederik Pohl
Stopping At Slowyear,Frederik Pohl
The Merchants' War,Frederik Pohl
The Dragon Masters,Jack Vance
The Lunar Eye,Robert Moore Williams
L'Atlantide,Pierre Benoit
Tama Of The Light Country,Ray Cummings
"Tama, Princess Of Mercury",Ray Cummings
The Sex War (Revised),Sam Merwin
Jinian Footseer,Sheri S Tepper
Dervish Daughter,Sheri S Tepper
Northshore,Sheri S Tepper
Southshore,Sheri S Tepper
Still Life,Sheri S Tepper
The Revenants,Sheri S Tepper
Blood Heritage,Sheri S Tepper
The Bones,Sheri S Tepper
Portal,Rob Swigart
Vector,Rob Swigart
Toxin,Rob Swigart
The Time Trip,Rob Swigart
Little America,Rob Swigart
The Book Of Revelations,Rob Swigart
Deadeye Dick,Kurt Vonnegut
Jailbird,Kurt Vonnegut
Slapstick Or Lonesome No More!,Kurt Vonnegut
Bluebeard,Kurt Vonnegut
Downtime,Cynthia Felice
Double Nocturne,Cynthia Felice
Nightfall,Isaac Asimov
The Ugly Little Boy,Isaac Asimov
Project Pendulum,Robert Silverberg
Majipoor Chronicles,Robert Silverberg
The Desert Of Stolen Dreams,Robert Silverberg
The Mountains Of Majipoor,Robert Silverberg
To The Land Of The Living,Robert Silverberg
Shifters,Edward Lee
Homesmind,Pamela Sargent
Eye Of The Comet,Pamela Sargent
Alien Child,Pamela Sargent
Watchstar,Pamela Sargent
The Golden Space,Pamela Sargent
The Alien Upstairs,Pamela Sargent
The Shore Of Women,Pamela Sargent
Dreamwatcher,Theodore Roszak
Bugs,Theodore Roszak
Escape From Kathmandu,Kim Stanley Robinson
The Adventures Of Smoke Bailey,James Morrow
The War God's Own,David Weber
A Plague Of All Cowards,William Barton
A Torrent Of Faces,James Blish
Endless Voyage,Marion Zimmer Bradley
The Terrorists Of Irustan,Louise Marley
Un Animal Doué De Raison,Robert Merle
Les Hommes Protégés,Robert Merle
Homeward Bound,James Axler
Chill Factor,Laurence James
Moon Fate,Laurence James
Fury's Pilgrims,Laurence James
Shockscape,Laurence James
Deep Empire,Laurence James
Cold Asylum,Laurence James
Twilight Children,Laurence James
"Rider, Reaper",Laurence James
Road Wars,Laurence James
Trader Redux,Laurence James
Keepers Of The Sun,Laurence James
Circle Thrice,Laurence James
Eclipse At Noon,Laurence James
Dark Legacy,Mark Anthony Kostrubala
Lucifer's Dragon,Jon Courtenay Grimwood
Son Of Rosemary,Ira Levin
John's Wife,Robert Coover
House Of Lost Dreams,Graham Joyce
Days,James Lovegrove
Earthly Pleasures,Reed Manning
The Book Of Knights,Yves Meynard
Second Coming Attractions,David Prill
Touched By The Gods,Lawrence Watt-Evans
Magister,Julia Smith
Ghost Seas,Steven Utley
The Resurrected Man,Sean Williams
The Sins Of Rachel Ellis,Philip Caveney
Narabedla Ltd.,Frederik Pohl
Outnumbering The Dead,Frederik Pohl
Black Star Rising,Frederik Pohl
A Splendid Chaos,John Shirley
Radius Of Doubt,Charles Ingrid
Path Of Fire,Charles Ingrid
The Downfall Matrix,Charles Ingrid
Soulfire,Charles Ingrid
Seven Days In New Crete,Robert Graves
Dare,Philip Jose Farmer
River Of Eternity,Philip Jose Farmer
The Gates Of Creation,Philip Jose Farmer
A Private Cosmos,Philip Jose Farmer
Behind The Walls Of Terra,Philip Jose Farmer
The Lavalite World,Philip Jose Farmer
More Than Fire,Philip Jose Farmer
Red Orc's Rage,Philip Jose Farmer
Inside Outside,Philip Jose Farmer
Lord Tyger,Philip Jose Farmer
The Green Odyssey,Philip Jose Farmer
The Lovers,Philip Jose Farmer
The Adventure Of The Peerless Peer,Philip Jose Farmer
Lord Of The Trees,Philip Jose Farmer
Keepers Of The Secrets,Philip Jose Farmer
Love Song,Philip Jose Farmer
The Caterpillar's Question,Piers Anthony
Venus On The Half-Shell,Philip Jose Farmer
The Wind Whales Of Ishmael,Philip Jose Farmer
Jesus On Mars,Philip Jose Farmer
The Other Log Of Phileas Fogg,Philip Jose Farmer
Tongues Of The Moon,Philip Jose Farmer
The Stone God Awakens,Philip Jose Farmer
The Gate Of Time,Philip Jose Farmer
Two Hawks From Earth,Philip Jose Farmer
Time's Last Gift,Philip Jose Farmer
Timestop!,Philip Jose Farmer
Escape From Loki,Philip Jose Farmer
Stations Of The Nightmare,Philip Jose Farmer
Dark Is The Sun,Philip Jose Farmer
Tarzan Alive,Philip Jose Farmer
Doc Savage,Philip Jose Farmer
A Barnstormer In Oz Or A Rationalization And Extrapolation Of The Split-Level Continuum,Philip Jose Farmer
The Cache,Philip Jose Farmer
Where The Evil Dwells,Clifford D Simak
Special Deliverance,Clifford D Simak
Mastodonia,Clifford D Simak
Highway Of Eternity,Clifford D Simak
The Fellowship Of The Talisman,Clifford D Simak
Kothar,Gardner F Fox
Kothar Of The Magic Sword!,Gardner F Fox
Kothar And The Demon Queen,Gardner F Fox
Kothar And The Conjurer's Curse,Gardner F Fox
Kothar And The Wizard Slayer,Gardner F Fox
Kyrik,Gardner F Fox
Kyrik Fights The Demon World,Gardner F Fox
Kyrik And The Wizard's Sword,Gardner F Fox
Kyrik And The Lost Queen,Gardner F Fox
The Brothel In Rosenstrasse,Michael Moorcock
Spēcial Education?Special Education,David R Palmer
A Hunger In The Soul,Mike Resnick
Orlando Furioso (3Rd Edition),Ludovico Ariosto
The Man Who Was Thursday,GK Chesterton
Siege Perilous,Lester Del Rey
The Runaway Robot,Lester Del Rey
Three To Conquer,Eric Frank Russell
Doomsday Eve,Robert Moore Williams
Callahan's Lady,Spider Robinson
Woman From Another Planet,Frank Belknap Long
Doomsday Morning,CL Moore
Corpus Earthling,Louis Charbonneau
Heart Of A Dog,Mikhail Bulgakov
The Solar Invasion,Manly Wade Wellman
Agent Of Byzantium,Harry Turtledove
A Different Flesh,Harry Turtledove
Ursus Of Ultima Thule,Avram Davidson
Seven Footprints To Satan,A Merritt
No Place On Earth,Louis Charbonneau
Mutiny In Space,Avram Davidson
Time Station London,David Evans
The Serpent,Jane Gaskell
Atlan,Jane Gaskell
The City,Jane Gaskell
Some Summer Lands,Jane Gaskell
A Dark Traveling,Roger Zelazny
A Place Of Silver Silence,Ardath Mayhar
Joe Gosh,Tom DE Haven
Hong On The Range,William F WU
Lucky's Harvest,Ian Watson
Szpital Przemienienia,Stanisław Lem?Stanislaw Lem
Roger Zelazny's Visual Guide To Castle Amber,Neil Randall
Exile On Vlahil,Ardath Mayhar
The World Ends In Hickory Hollow,Ardath Mayhar
The Seekers Of Shar-Nuhn,Ardath Mayhar
Yesterday We Saw Mermaids,Esther M Friesner
Rescue Run,Anne Mccaffrey
The Coelura,Anne Mccaffrey
Barrow,John Deakins
Fire Get,Cheryl J Franklin
Fire Lord,Cheryl J Franklin
The Light In Exile,Cheryl J Franklin
Fire Crossing,Cheryl J Franklin
The Inquisitor,Cheryl J Franklin
Ghost Shadow,Cheryl J Franklin
The Last Of The Renshai,Mickey Zucker Reichert
The Western Wizard,Mickey Zucker Reichert
Her Majesty's Wizard,Christopher Stasheff
The Oathbound Wizard,Christopher Stasheff
The Witch Doctor,Christopher Stasheff
The Gateway Trip,Frederik Pohl
Final Orbit,SV Date
Polymorph,Scott Westerfeld
Godzilla 2000,Marc Cerasini
Patriots,David Drake
Manchu Palaces,Jeanne Larsen
The Matter Of The Heart,Nicholas Royle
Prayer-Cushions Of The Flesh,Robert Irwin
Where The Children Cry,Jenny Jones
The Claus Effect,David Nickle
Fear Nothing,Dean Koontz
The Man Who Walked To The Moon,Howard Mccord
Into The Forest,Jean Hegland
Percival And The Presence Of God,Jim Hunter
Specter Of The Past,Timothy Zahn
A Small Dark Place,Martin Schenk
The Goulep,Stella Atrium
"Bonds Of Blood, Bonds Of Steel",Rebecca L Frencl
The Lantern Bearers,Rosemary Sutcliff
Quest For A Maid,Frances Mary Hendry
The Dawning Of A New Age,Jean Rabe
The Day Of The Tempest,Jean Rabe
The Eve Of The Maelstrom,Jean Rabe
Outpost,Scott Mackay
The Plague Saint,Rita Donovan
Exile's Return,Kate Jacoby
The Ten Ounce Siesta,Norman Partridge
The Enchantresses,Mike Ashley
Lethal Exposure,Kevin J Anderson
Starfarers,Poul Anderson
The Radiant Seas,Catherine Asaro
Slaughtermatic,Steve Aylett
Moonseed,Stephen Baxter
The Last Dragonlord,Joanne Bertin
Heartlight,Marion Zimmer Bradley
A Knight Of The Word,Terry Brooks
Blood Lines,William R Burkett
Night Prayers,PD Cacek
The Outlanders,David B Coe
The White Guardian,Ronald Anthony Cross
The White Order,LE Modesitt
O Pioneer!,Frederik Pohl
Starswarm,Jerry Pournelle
Invasion From The Deep,Paul W Fairman
The Lake Of Life,Edmond Hamilton
"Bill Jenkins, Buccaneer",George Allan England
The Seedbearers,Peter Valentine Timlett
The Power Of The Serpent,Peter Valentine Timlett
Outward Bound,James P Hogan
The Moon In Hiding,Teresa Edgerton
The Work Of The Sun,Teresa Edgerton
The Castle Of The Silver Wheel,Teresa Edgerton
The Grail And The Ring,Teresa Edgerton
The Moon And The Thorn,Teresa Edgerton
Goblin Moon,Teresa Edgerton
The Gnome's Engine,Teresa Edgerton
Blue Fruit,Adam Lively
The Missing Persons League,Frank Bonham
On All Hallows' Eve,Grace Chetwin
Out Of The Dark World,Grace Chetwin
Gom On Windy Mountain,Grace Chetwin
The Riddle And The Rune,Grace Chetwin
The Crystal Stair,Grace Chetwin
The Starstone,Grace Chetwin
The Chimes Of Alyafaleyn,Grace Chetwin
"Sudanna, Sudanna",Brian Herbert
The Molecule Men And The Monster Of Loch Ness,Fred Hoyle
Seven Steps To The Sun,Fred Hoyle
Into Deepest Space,Fred Hoyle
The Westminster Disaster,Fred Hoyle
The Incandescent Ones,Fred Hoyle
Comet Halley,Fred Hoyle
October The First Is Too Late,Fred Hoyle
The Misplaced Legion,Harry Turtledove
Wolf Of Shadows,Whitley Strieber
An Emperor For The Legion,Harry Turtledove
The Legion Of Videssos,Harry Turtledove
Krispos Rising,Harry Turtledove
Krispos Of Videssos,Harry Turtledove
Operation Interstellar,George O Smith
Companions Of The Night,Vivian Vande Velde
A Coming Evil,Vivian Vande Velde
An Enemy Reborn,Michael A Stackpole
Time's Rub,Gregory Benford
Le Serpent D'Angoisse,Roland C Wagner
L'Odyssée De L'Espèce,Roland C Wagner
Les Psychopompes De Klash,Roland C Wagner
Quelqu'Un Hurle Mon Nom,Roland C Wagner
Viper,Roland C Wagner
Ganja,Roland C Wagner
La Balle Du Néant,Roland C Wagner
Les Ravisseurs Quantiques,Roland C Wagner
L'Aube Incertaine,Roland C Wagner
Le Nombril Du Monde,Roland C Wagner
Cyberbooks,Ben Bova
The Weathermakers,Ben Bova
The Trikon Deception,Ben Bova
Le Paysage Déchiré,Roland C Wagner
Un Navire Ancré Dans Le Ciel,Roland C Wagner
La Mort Marchait Dans Les Rues,Roland C Wagner
Le Rêveur Des Terres Agglutinées,Roland C Wagner
L'Autoroute De L'Aube,Roland C Wagner
Cette Crédille Qui Nous Ronge,Roland C Wagner
The Atheling,Grace Chetwin
Cradle,Arthur C Clarke
The Well Of Time,Tom Henighan
The Windrider,Stephanie T Hoppe
Mistress Of Ambiguities,JF Rivkin
Ghost,Piers Anthony
Hard Sell,Piers Anthony
Shade Of The Tree,Piers Anthony
Mer-Cycle,Piers Anthony
Through The Ice,Piers Anthony
Dead Morn,Piers Anthony
A World Of Difference,Harry Turtledove
Blood Feuds,Susan Shwartz
Walking Wolf,Nancy A Collins
Testing,Charles Oberndorf
Hocus Pocus,Kurt Vonnegut
The Houses Of Iszm,Jack Vance
Twilight Of The Serpent,Peter Valentine Timlett
A Well-Timed Enchantment,Vivian Vande Velde
Once Upon A Test,Vivian Vande Velde
City Of The Iron Fish,Simon Ings
The Douglas Convolution,Edward Llewellyn
The Seep,Dudley Bromley
The Covenant,Michael Falconer Anderson
Ursula's Gift,Roger L Disilvestro
Down On The Farm,John Stchur
The Fungus,Harry Adam Knight
Professor Dowell's Head,Alexander Beliaev
Shadows Of Doom,Dennis L Mckiernan
The Darkest Day,Dennis L Mckiernan
Budspy,David Dvorkin
Ursus,David Dvorkin
The Seekers,David Dvorkin
Father To The Man,John Gribbin
The Eternal Enemy,Michael Berlyn
The Cloning Of Joanna May,Fay Weldon
The Brave Little Toaster Goes To Mars,Thomas M Disch
Twilight Journey,LP Davies
Igniting The Reaches,David Drake
The Hub,Chris Beebee
The Voice Of The Mountain,Manly Wade Wellman
Close Encounters Of The Third Kind,Steven Spielberg
Star Wind,Linda Woolverton
The Hunters,Thomas Hoobler
The Eleven Million Mile High Dancer,Carol Hill
O-Zone,Paul Theroux
A Journal Of The Flood Year,David Ely
The Burnt House,Adam Lively
Mutant 59,Gerry Davis
The Forever Formula,Frank Bonham
The Girl Who Slipped Through Time,Paula Hendrich
Mercedes Nights,Michael D Weaver
Futuretrack 5,Robert Westall
The Day Of The Drones,AM Lightner
Rocket To Luna,Richard Marsten
The Martian Visitors,Frank B Long
The Hothouse World,Fred Macisaac
A Gift Upon The Shore,MK Wren
Earth Ship And Star Song,Ethan I Shedley
Louisa The Poisoner,Tanith Lee
Silver Tower,Dale Brown
The Big X,Hank Searls
Reach,Edward Gibson
Devine War,Dennis R Caro
The Sykaos Papers,EP Thompson
The Time Wanderers,Strugatsky Brothers
The Return,Richard Maynard
Barbary,Vonda N Mcintyre
Time Capsule,Mitch Berman
Angel Eyes,Eric Lustbader
The Orchid Eater,Marc Laidlaw
Milwaukee The Beautiful,Dakota James
Fortress,David Drake
A Time To Remember,Stanley Shapiro
Julian Solo,Shelly Reuben
The Glass Inferno,Frank M Robinson
Tremblemer,Alain LE Bussy
Deltas,Alain LE Bussy
The Best And The Brightest,Susan Wright
Island Bound,Betty Levin
The Stones Of Muncaster Cathedral,Robert Westall
The Veil Of Snows,Mark Helprin
The Golem,Isaac Bashevis Singer
Positive Match,Tony Chiu
Bad Memory,Duane Franklet
To Sift Through Bitter Ashes,David Niall Wilson
Stealing Sacred Fire,Storm Constantine
The Gratitude Of Kings,Marion Zimmer Bradley
Blood Roses,Chelsea Quinn Yarbro
The Death Of Princes,John Peel
The Church Of Dead Girls,Stephen Dobyns
The Bighead,Edward Lee
Asylum,Patrick Mcgrath
The Club Dumas,Arturo Pérez-Reverte
Drawn To The Grave,Mary Ann Mitchell
Girl In Landscape,Jonathan Lethem
Roverandom,JRR Tolkien
Masque,Matthew J Costello
Wish You Were Here,Tom Holt
To Hold Infinity,John Meaney
The Paladin,Adam Nichols
The Eleventh Plague,John Baldwin
Kingdom Come,Elliot S Maggin
Semper Mars,Ian Douglas (Pseudonym)
Hitler's Angel,Kristine Kathryn Rusch
Vampyrrhic,Simon Clark
Deathstalker Honor,Simon R Green
Land-Of-Mists,Garry Kilworth
The Cassini Division,Ken Macleod
The Last Continent,Terry Pratchett
The Royal Changeling,John Whitbourn
The Forgetting Room,Nick Bantock
The Ax,Donald E Westlake
Double Edge,Dennis Etchison
Darkside,Dennis Etchison
Spider Legs,Piers Anthony
Extinct,Charles Wilson
Embryo,Charles Wilson
Colours In The Steel,KJ Parker
The Dance Of The Voodoo Handbag,Robert Rankin
The Wine Of Angels,Phil Rickman
The Lament Of Abalone,Jane Welch
Wit'Ch Fire,James Clemens
In The Realm Of The Wolf,David Gemmell
Star Child,James P Hogan
Demon Knight,Dave Duncan
Faces Under Water,Tanith Lee
Maze Of Worlds,Brian Lumley
Trickster In The Ashes,Felicity Savage
The Great War,Harry Turtledove
The Great War,Harry Turtledove
The Great War,Harry Turtledove
Cavalcade,Alison Sinclair
Lord Of Sunset,Parke Godwin
Accidental Creatures,Anne Harris
The Sands Of Kalaven,Carol Heller
Brown Girl In The Ring,Nalo Hopkinson
Storm Front,Dean R Koontz
The Iron Bridge,David Morse
Factoring Humanity,Robert J Sawyer
Full Tide Of Night,JR Dunn
Deepdrive,Alexander Jablokov
The Temple And The Stone,Deborah Turner Harris
The Compass Of The Soul,Sean Russell
Aftermath,Charles Sheffield
The Alien Years,Robert Silverberg
One Of Us,Michael Marshall Smith
Irrational Fears,William Browning Spencer
Mockingbird,Sean Stewart
Six Moon Dance,Sheri S Tepper
Dark Heart,David Baldwin
Fine Prey,Scott Westerfeld
The Cull,Christopher Priest
Vengeance Moon,Joyce Cottrell
Child Of Fire,Joyce Cottrell
Noir,KW Jeter
Dark Ages,John Pritchard
Parallelities,Alan Dean Foster
Scent Of Magic,Andre Norton
Daughter Of Troy,Dave Duncan
Officer-Cadet,Rick Shelley
The Smithsonian Institution,Gore Vidal
The Wizards And The Warriors,Hugh Cook
The Questing Hero (First Half),Hugh Cook
The Hero's Return (Second Half),Hugh Cook
The Walrus And The Warwolf,Hugh Cook
The Wicked And The Witless,Hugh Cook
The Wishstone And The Wonderworkers,Hugh Cook
The Wazir And The Witch,Hugh Cook
The Werewolf And The Wormlord,Hugh Cook
The Worshippers And The Way,Hugh Cook
The Witchlord And The Weaponmaster,Hugh Cook
253,Geoff Ryman
Kings Of The High Frontier,Victor Koman
Thx 1138,Ben Bova
East Of Eden,John Steinbeck
It Can'T Happen Here,Sinclair Lewis
The Secret Of The League,Ernest Bramah
A Clockwork Orange,Anthony Burgess
The End Of The World News,Anthony Burgess
The Third Force,Marc Laidlaw
Met By Moonlight,Rosemary Edghill
The Autobiography Of Foudini M. Cat,Susan Fromberg Schaeffer
The Soulforge,Margaret Weis
Kissing The Witch,Emma Donoghue
E.L.V.,Nick Nielsen
The Touch,Daniel Keyes
The Fifth Sally,Daniel Keyes
The Sorcerer's Confession,Susannah Morgan
The Keeper Of The Wind,Charlotte Boyett-Compo
Witch House,Evangeline Walton
Slaves Of The Klau,Jack Vance
The World In Amber,A Orr
In The Ice King's Palace,A Orr
Aloha,Mark Christensen
Alqua Dreams,Rachel Pollack
Sorcerers,Jacob Needleman
Clouds Of Magellan,David F Nighbert
Timelapse,David F Nighbert
An Acceptable Time,Madeleine L'Engle
Arrows Of The Sun,Judith Tarr
Magicnet,John Dechancie
Mirror To The Sky,Mark S Geston
Mister Touch,Malcolm Bosse
Humans,Donald E Westlake
Gojiro,Mark Jacobson
Wizrd,Steve Zell
Andra,Louise Lawrence
The Wyndcliffe,Louise Lawrence
Sing And Scatter Daisies,Louise Lawrence
Butcher Bird,Dean Ing
Justice For Some,Kate Wilhelm
The Faces Of Ceti,Mary Caraker
The Turing Option,Harry Harrison
Trust Territory,Chris Morris
The Warlord's Domain,Peter Morwood
The Horse Lord,Peter Morwood
The Demon Lord,Peter Morwood
The Dragon Lord,Peter Morwood
Being Invisible,Thomas Berger (1924-2014)
Nowhere,Thomas Berger (1924-2014)
Vital Parts,Thomas Berger (1924-2014)
The Feud,Thomas Berger (1924-2014)
The Big Lifters,Dean Ing
The Hard-Boiled Wonderland And The End Of The World,Haruki Murakami
Step To The Stars,Lester Del Rey
The Cybernetic Shogun,Victor Milán
Reel,Laurence M Janifer
The Warriors Of Taan,Louise Lawrence
Teklords,William Shatner
Reunion,Michael Jan Friedman
Fear,L Ron Hubbard
The Sky Lords,John Brosnan
War Of The Sky Lords,John Brosnan
The Fall Of The Sky Lords,John Brosnan
Threshold,Chris Morris
Time Out Of Mind,John R Maxim
Fiskadoro,Denis Johnson
The Eighth Rank,David D Ross
The Argus Gambit,David D Ross
The Forbidden Beast,John Forrester (1980S)
Bestiary Mountain,John Forrester (1980S)
The Secret Of The Round Beast,John Forrester (1980S)
Second Nature,Alice Hoffman
The Copy Shop,Evelyn E Smith
Escape From Robotropolis,Fred D'Ignazio
Clone,Richard Cowper
Cloning,David Shear
Timefall,James Kahn
The Echo Vector,James Kahn
Bright Messengers,Gentry Lee
Tek Power,William Shatner
Yamato,Ken Kato
Machine,René Belletto
The Fury,John Farris
The Fury And The Terror,John Farris
Tek Secret,William Shatner
Alembic,Timothy D'Arch Smith
Loch,Paul Zindel
Bridge Of Ashes,Roger Zelazny
Attack New York,Duncan Harding
The Legacy,RA Salvatore
Starless Night,RA Salvatore
Siege Of Darkness,RA Salvatore
Millennium,Jack Anderson
Dream Science,Thomas Palmer
The Other Sinbad,Craig Shaw Gardner
A Bad Day For Ali Baba,Craig Shaw Gardner
Scheherazade's Night Out,Craig Shaw Gardner
Keepers Of The Gate,Steven G Spruill
The Psychopath Plague,Steven Spruill
The Imperator Plot,Steven Spruill
The Paradox Planet,Steven Spruill
The Singularity Project,FM Busby
Hear The Children Calling,Clare Mcnally
Dancing On The Volcano,Anne Gay
Texas Triumphant,Daniel DA Cruz
A Man Of Double Deed,Leonard Daventry
My Father Immortal,Michael D Weaver
The Devil's Heart,Carmen Carter
Rajan,Tim Lukeman
A Diet Of Holes,David Gale
"A Rag, A Bone And A Hank Of Hair",Nicholas Fisk
The Joshua Factor,Donald D Clayton
Dollarville,Pete Davies
Seaward,Brad Leithauser
Everybody Comes To Cosmo's,Ron Goulart
A Whiff Of Madness,Ron Goulart
A Talent For The Invisible,Ron Goulart
Hail Hibbler,Ron Goulart
Upside Downside,Ron Goulart
The Magic Toyshop,Angela Carter
